BM Units Registered with Central Registration Agency 
 
BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,CALF,BMCAIC,BMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__AALTI000,"2__AALTI000","Altitude Energy Supply Limited",ALTITUDE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AANGE000,"2__AANGE000","Angel Energy Limited",ANGEL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AAXIS000,"2__AAXIS000","Axis Telecom Ltd",AXISTELE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AAXPO000,"2__AAXPO000","AXPO UK LIMITED",EGLUK,G,"EAS-AXPO1",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,18/09/13,,F
2__ABARB000,"2__ABARB000","Barbican Power Limited",BARBICAN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,18/09/13,,F
2__ABAYS000,"2__ABAYS000","Bayswater Energy Limited",BAYSWATE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ABGAS000,"2__ABGAS000","British Gas Trading Ltd",BRITGAS,G,"EAS-BGS01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-608,.4916,-298.893,0,F,T,T,,01/09/13,,F
2__ABIZZ000,"2__ABIZZ000","British Gas Trading Ltd",BRITGAS,G,"EAS-BIZ01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ABNRG000,"2__ABNRG000","Electricity Plus Supply Ltd",BAENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-57.5477,.5297,-30.483,0,F,T,F,,01/09/13,,F
2__ACALL000,"2__ACALL000","Callisto Energy Supply Limited",CALLISTO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ACIRC000,"2__ACIRC000","Flow Energy Ltd",CIRCUIT,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,3.66,-.1,.5411,-.054,1.98,F,T,F,,01/09/13,,F
2__ACNDL000,"2__ACNDL000","NEAS Energy Limited",CNDA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ACNRG000,"2__ACNRG000","Opus Energy (Corporate) Ltd",CHENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-41.74,.5568,-23.241,0,F,T,F,,01/09/13,,F
2__ACOOP000,"2__ACOOP000","I Supply Energy Limited",COOP,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-.0658,.5411,-.036,0,F,T,F,,01/09/13,,F
2__ACOUL000,"2__ACOUL000","Coulomb Energy Supply Limited",COULOMB,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ACROW000,"2__ACROW000","Reuben Power Supply Limited",CROWELEC,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ADNRG000,"2__ADNRG000","Donnington Energy Limited",DOENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ADUAL000,"2__ADUAL000","Dual Energy Direct Limited",DUALENER,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-2.986,.5923,-1.769,0,F,T,F,,01/09/13,,F
2__AEBES000,"2__AEBES000","BES Commercial Electricity Ltd",EBEA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-7.708,.4735,-3.65,0,F,T,F,,01/09/13,,F
2__AECOA000,"2__AECOA000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AECON000,"2__AECON000","Economy Power",ECON1,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AECOT000,"2__AECOT000","The Renewable Energy Co Ltd",RENC,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,1.8,-6.5538,.3433,-2.25,.618,F,T,F,,01/09/13,,F
2__AEDIR000,"2__AEDIR000","British Gas Trading Ltd",BRITGAS,G,"EAS-EDR01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,T,,01/09/13,,F
2__AEELC000,"2__AEELC000","E.ON Energy Ltd",PGENERGY,G,"EAS-EAS01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-836,.5655,-472.758,0,F,T,T,,01/09/13,,F
2__AEENG000,"2__AEENG000","E.ON Energy Ltd",PGENERGY,G,"EAS-EST01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,T,,01/09/13,,F
2__AEETL000,"EETL in Eastern","Economy Energy Trading Limited",PAL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-.288,.5411,-.156,0,F,T,F,,01/09/13,,F
2__AEMEB000,"2__AEMEB000","E.ON Energy Ltd",PGENERGY,G,"EAS-PGE01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-480,.5824,-279.552,0,F,T,T,,01/09/13,,F
2__AENDC000,"2__AENDC000","Energy Data Company Limited",ENDC,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AENEC000,"2__AENEC000","Eneco Energy Trade",ENECOUK,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AENRD000,"2__AENRD000","British Gas Trading Ltd",BRITGAS,G,"EAS-ENR01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-444,.475,-210.9,0,F,T,T,,01/09/13,,F
2__AENRG000,"2__AENRG000","Opus Energy Renewables Limited",EVENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,13,0,.6594,0,8.572,F,T,F,,01/09/13,,F
2__AENRG001,"ENRG Additional A1","Opus Energy Renewables Limited",EVENERGY,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,5.96,0,.5411,0,3.225,F,T,F,,01/09/13,F,F
2__AEPHH000,"2__AEPHH000","Economy Power",ECON1,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AEURO000,"2__AEURO000","Europa Energy Supply Limited",EUROPA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AFNRG000,"2__AFNRG000","Farmoor Energy Limited",FRENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AFOUR000,"2__AFOUR000","IPM Energy Retail Ltd",FOUR,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AFRST000,"2__AFRST000","First Utility Limited",FRST01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-32.122,.3667,-11.779,0,F,T,F,,06/09/13,,F
2__AFSEN000,"2__AFSEN000","F & S Energy Ltd",FSE0001,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AGANY000,"2__AGANY000","Ganymede Energy Supply Limited",GANYMEDE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AGETW000,"2__AGETW000","Utilita Energy Limited",UTILITA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.414,0,0,F,T,F,,01/09/13,,F
2__AGMTR000,"2__AGMTR000","Gazprom M & T Retail Ltd",GMTR,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-32.262,.4552,-14.686,0,F,T,F,,01/09/13,,F
2__AGNRG000,"2__AGNRG000","Garsington Energy Ltd",GRENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-3,.5096,-1.529,0,F,T,F,,01/09/13,,F
2__AHAVE000,"2__AHAVE000","Haven Power Ltd",HAVEN,G,"EAS-HVN01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-8,.5643,-4.514,0,F,T,T,,27/09/13,F,F
2__AHOLB000,"2__AHOLB000","Holborn Energy Limited",HOLBORN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AHPOW000,"2__AHPOW000","Haven Power Ltd",HAVEN,G,"EAS-HPW01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-192,.6195,-118.944,0,F,T,T,,26/09/13,,F
2__AHUDS000,"2__AHUDS000","Hudson Energy Supply UK Ltd",AMPERE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-4,.5411,-2.164,0,F,T,F,,01/09/13,,F
2__AHYDE000,"SSE SBMU1 - Eastern GSPG","SSE Energy Supply Limited",SSE,G,"EAS-SSE01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-110,.6545,-71.995,0,F,T,T,,01/09/13,,F
2__AIMPO000,"2__AIMPO000","SSE Energy Supply Limited",SSE,G,"EAS-ATL01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-2,.5411,-1.082,0,F,T,F,,01/09/13,,F
2__AIMPX000,"2__AIMPX000","INEOS Chlor Energy LTD",IMPX,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AINDE000,"INDE EASTERN","Npower Direct Limited",NITTWO01,G,"EAS-INE01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-56.1551,.5544,-31.132,0,F,T,T,,01/09/13,,F
2__AJERE000,"2__AJERE000","Hudson Energy Supply UK Ltd",AMPERE,G,"AJERE000",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AJETS000,"2__AJETS000","Jetstream Energy Supply Ltd",JETSTREA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AKENS000,"2__AKENS000","Kensington Power Limited",KENSINGT,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ALIGH000,"2__ALIGH000","Lightning Energy Supply Ltd",LIGHTNIN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__ALOND000,"LE Default BMUid EELC","EDF Energy Customers PLC",LENCO,G,"EAS-LON01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-800,.6745,-539.6,0,F,T,T,,01/09/13,,F
2__ALUME000,"2__ALUME000","GNERGY Limited",LUMA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AMAEL000,"2__AMAEL000","MA Energy Limited",MA200308,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5614,0,0,F,T,F,,01/09/13,,F
2__AMAGN000,"2__AMAGN000","DONG Energy Power Sales UK Ltd",MAGNETIC,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.5411,0,0,F,T,F,,01/09/13,,F
2__AMANW000,"2__AMANW000","SP Energy Retail Ltd",SPSUP01,G,"EAS-MNW01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-1,.419,-.419,0,F,T,F,,01/09/13,,F
