#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2013-01-01,1,3255,0,14041,8572,2816,0,726,0,524,1490,0,994,0
2013-01-01,2,3693,0,14024,8571,2958,0,719,0,525,1490,0,994,0
2013-01-01,3,3350,0,13951,8570,3203,0,678,0,525,1490,0,994,0
2013-01-01,4,2983,0,13356,8570,3158,0,678,1,525,1490,0,994,0
2013-01-01,5,2887,0,12565,8573,3036,0,681,1,525,1490,0,994,0
2013-01-01,6,2959,0,12154,8572,2824,0,658,1,526,1490,0,994,0
2013-01-01,7,3017,0,11297,8587,2702,0,587,1,526,1490,0,516,0
2013-01-01,8,2776,0,10425,8585,2827,0,504,1,526,1490,0,520,0
2013-01-01,9,2407,0,10188,8590,2949,0,487,1,525,1490,0,192,0
2013-01-01,10,2350,0,9856,8610,2887,0,478,1,525,1490,0,192,0
2013-01-01,11,2248,0,9505,8609,2929,0,479,1,525,1490,0,370,0
2013-01-01,12,2053,0,9517,8621,3117,0,482,1,525,1490,0,374,0
2013-01-01,13,2067,0,9813,8627,3311,0,505,1,525,1490,0,296,0
2013-01-01,14,2072,0,9727,8631,3486,0,510,1,525,1496,0,298,0
2013-01-01,15,2066,0,9912,8627,3633,0,642,1,525,996,0,272,0
2013-01-01,16,2012,0,9263,8636,3666,0,646,1,525,994,0,272,0
2013-01-01,17,2056,0,9195,8630,3762,0,662,1,525,994,0,620,0
2013-01-01,18,2184,0,9407,8631,3826,0,673,1,525,992,0,622,0
2013-01-01,19,2047,0,9730,8644,3888,284,756,0,525,1488,0,826,0
2013-01-01,20,2079,0,11054,8642,3818,290,756,0,524,1490,0,826,0
2013-01-01,21,2395,0,12611,8650,3770,298,660,0,524,1490,0,588,0
2013-01-01,22,2370,0,13766,8653,3777,316,615,0,524,1490,0,580,0
2013-01-01,23,2536,0,14123,8663,3921,412,669,10,523,1490,0,808,0
2013-01-01,24,2469,0,15128,8664,3732,322,762,0,523,1490,0,806,0
